"year","total","time"
2000,110,Jan 2000
2000,126,Feb 2000
2000,158,Mar 2000
2000,146,Apr 2000
2000,156,May 2000
2000,209,Jun 2000
2000,573,Jul 2000
2000,347,Aug 2000
2000,98,Sep 2000
2000,116,Oct 2000
2000,80,Nov 2000
2000,119,Dec 2000
2001,86,Jan 2001
2001,130,Feb 2001
2001,139,Mar 2001
2001,160,Apr 2001
2001,129,May 2001
2001,149,Jun 2001
2001,143,Jul 2001
2001,96,Aug 2001
2001,114,Sep 2001
2001,123,Oct 2001
2001,102,Nov 2001
2001,136,Dec 2001
2002,95,Jan 2002
2002,102,Feb 2002
2002,134,Mar 2002
2002,109,Apr 2002
2002,168,May 2002
2002,131,Jun 2002
2002,122,Jul 2002
2002,129,Aug 2002
2002,103,Sep 2002
2002,209,Oct 2002
2002,143,Nov 2002
2002,144,Dec 2002
2003,113,Jan 2003
2003,117,Feb 2003
2003,269,Mar 2003
2003,144,Apr 2003
2003,153,May 2003
2003,172,Jun 2003
2003,152,Jul 2003
2003,130,Aug 2003
2003,193,Sep 2003
2003,201,Oct 2003
2003,535,Nov 2003
2003,296,Dec 2003
2004,190,Jan 2004
2004,136,Feb 2004
2004,155,Mar 2004
2004,165,Apr 2004
2004,187,May 2004
2004,183,Jun 2004
2004,172,Jul 2004
2004,178,Aug 2004
2004,241,Sep 2004
2004,228,Oct 2004
2004,196,Nov 2004
2004,164,Dec 2004
2005,194,Jan 2005
2005,135,Feb 2005
2005,177,Mar 2005
2005,167,Apr 2005
2005,187,May 2005
2005,263,Jun 2005
2005,256,Jul 2005
2005,263,Aug 2005
2005,167,Sep 2005
2005,159,Oct 2005
2005,224,Nov 2005
2005,238,Dec 2005
2006,169,Jan 2006
2006,176,Feb 2006
2006,174,Mar 2006
2006,416,Apr 2006
2006,266,May 2006
2006,1113,Jun 2006
2006,265,Jul 2006
2006,245,Aug 2006
2006,241,Sep 2006
2006,300,Oct 2006
2006,956,Nov 2006
2006,438,Dec 2006
2007,501,Jan 2007
2007,194,Feb 2007
2007,298,Mar 2007
2007,310,Apr 2007
2007,280,May 2007
2007,240,Jun 2007
2007,225,Jul 2007
2007,272,Aug 2007
2007,160,Sep 2007
2007,202,Oct 2007
2007,182,Nov 2007
2007,202,Dec 2007
2008,223,Jan 2008
2008,211,Feb 2008
2008,239,Mar 2008
2008,294,Apr 2008
2008,355,May 2008
2008,365,Jun 2008
2008,325,Jul 2008
2008,235,Aug 2008
2008,219,Sep 2008
2008,205,Oct 2008
2008,212,Nov 2008
2008,253,Dec 2008
2009,160,Jan 2009
2009,67,Feb 2009
2009,83,Mar 2009
2009,114,Apr 2009
2009,72,May 2009
2009,105,Jun 2009
2009,112,Jul 2009
2009,131,Aug 2009
2009,94,Sep 2009
2009,104,Oct 2009
2009,67,Nov 2009
2009,96,Dec 2009
2010,85,Jan 2010
2010,120,Feb 2010
2010,143,Mar 2010
2010,96,Apr 2010
2010,106,May 2010
2010,145,Jun 2010
2010,121,Jul 2010
2010,137,Aug 2010
2010,134,Sep 2010
2010,112,Oct 2010
2010,94,Nov 2010
2010,708,Dec 2010
2011,318,Jan 2011
2011,166,Feb 2011
2011,3001,Mar 2011
2011,762,Apr 2011
2011,462,May 2011
2011,303,Jun 2011
2011,291,Jul 2011
2011,264,Aug 2011
2011,234,Sep 2011
2011,200,Oct 2011
2011,163,Nov 2011
2011,153,Dec 2011
2012,172,Jan 2012
2012,173,Feb 2012
2012,230,Mar 2012
2012,176,Apr 2012
2012,163,May 2012
2012,177,Jun 2012
2012,202,Jul 2012
2012,163,Aug 2012
2012,139,Sep 2012
2012,163,Oct 2012
2012,131,Nov 2012
2012,278,Dec 2012
2013,148,Jan 2013
2013,156,Feb 2013
2013,105,Mar 2013
2013,246,Apr 2013
2013,304,May 2013
2013,124,Jun 2013
2013,150,Jul 2013
2013,146,Aug 2013
2013,133,Sep 2013
2013,187,Oct 2013
2013,223,Nov 2013
2013,267,Dec 2013
2014,233,Jan 2014
2014,183,Feb 2014
2014,174,Mar 2014
2014,173,Apr 2014
2014,178,May 2014
2014,639,Jun 2014
2014,430,Jul 2014
2014,299,Aug 2014
2014,208,Sep 2014
2014,232,Oct 2014
2014,269,Nov 2014
2014,199,Dec 2014
2015,233,Jan 2015
2015,234,Feb 2015
2015,189,Mar 2015
2015,182,Apr 2015
2015,197,May 2015
2015,204,Jun 2015
2015,193,Jul 2015
2015,229,Aug 2015
2015,240,Sep 2015
2015,181,Oct 2015
2015,206,Nov 2015
2015,158,Dec 2015
2016,169,Jan 2016
2016,153,Feb 2016
2016,155,Mar 2016
2016,249,Apr 2016
2016,215,May 2016
2016,187,Jun 2016
2016,246,Jul 2016
2016,242,Aug 2016
2016,242,Sep 2016
2016,173,Oct 2016
2016,287,Nov 2016
2016,205,Dec 2016
2017,294,Jan 2017
2017,248,Feb 2017
2017,324,Mar 2017
2017,280,Apr 2017
2017,290,May 2017
2017,382,Jun 2017
2017,340,Jul 2017
2017,168,Aug 2017
2017,164,Sep 2017
2017,160,Oct 2017
2017,140,Nov 2017
2017,163,Dec 2017
2018,177,Jan 2018
2018,171,Feb 2018
2018,146,Mar 2018
2018,133,Apr 2018
2018,135,May 2018
2018,147,Jun 2018
2018,183,Jul 2018
2018,231,Aug 2018
2018,248,Sep 2018
2018,222,Oct 2018
2018,147,Nov 2018
2018,272,Dec 2018
2019,164,Jan 2019
2019,171,Feb 2019
2019,170,Mar 2019
2019,223,Apr 2019
2019,154,May 2019
2019,170,Jun 2019
2019,186,Jul 2019
2019,160,Aug 2019
2019,124,Sep 2019
2019,152,Oct 2019
2019,165,Nov 2019
2019,215,Dec 2019
2020,182,Jan 2020
2020,151,Feb 2020
2020,160,Mar 2020
2020,167,Apr 2020
2020,180,May 2020
2020,217,Jun 2020
2020,164,Jul 2020
2020,197,Aug 2020
2020,182,Sep 2020
2020,144,Oct 2020
2020,149,Nov 2020
2020,140,Dec 2020
2021,143,Jan 2021
2021,140,Feb 2021
2021,227,Mar 2021
2021,186,Apr 2021
2021,247,May 2021
2021,168,Jun 2021
2021,223,Jul 2021
2021,228,Aug 2021
2021,160,Sep 2021
2021,180,Oct 2021
2021,199,Nov 2021
2021,314,Dec 2021
2022,252,Jan 2022
2022,239,Feb 2022
2022,337,Mar 2022
2022,290,Apr 2022
2022,236,May 2022
2022,293,Jun 2022
2022,317,Jul 2022
2022,257,Aug 2022
2022,270,Sep 2022
2022,252,Oct 2022
2022,226,Nov 2022
2022,207,Dec 2022
2023,162,Jan 2023
2023,154,Feb 2023
2023,168,Mar 2023
